Start Date,Total Duration (hh:mm:ss),Charging Time (hh:mm:ss),GHG Savings (kg),Energy (kWh),Port Type,Plug Type,Gasoline Savings (gallons),Postal Code,Ended By,Fee,Driver Postal Code,User ID,day_of_week,week,month,hour,count_event
2015-02-07 07:42:00,3:33:03,2:43:29,4.295,10.226,Level 2,J1772,1.2830000000000001,30308,CPS Server,3.02,30004,268993.0,Saturday,6,2,7,1
2015-02-06 14:17:00,7:03:37,3:31:20,5.539,13.187999999999999,Level 2,J1772,1.655,30308,Plug Out at Vehicle,6.0,30004,268993.0,Friday,6,2,14,1
2015-02-06 12:33:00,3:02:26,3:02:20,3.54,8.429,Level 2,J1772,1.058,30308,Plug Out at Vehicle,2.58,30114,235945.0,Friday,6,2,12,1
2015-02-06 08:57:00,5:46:15,5:46:07,9.157,21.802,Level 2,J1772,2.736,30308,Plug Out at Vehicle,4.91,30622,217113.0,Friday,6,2,8,1
2015-02-06 12:36:00,1:53:16,1:52:50,2.47,5.88,Level 2,J1772,0.738,30308,Plug Out at Vehicle,1.6,30253,345151.0,Friday,6,2,12,1
2015-02-06 07:39:00,4:52:48,4:02:06,5.2010000000000005,12.384,Level 2,J1772,1.554,30308,Plug Out at Vehicle,4.15,30062,261355.0,Friday,6,2,7,1
2015-02-06 08:25:00,3:39:41,3:39:25,5.083,12.102,Level 2,J1772,1.5190000000000001,30308,Plug Out at Vehicle,3.11,30033,285613.0,Friday,6,2,8,1
2015-02-06 08:43:00,3:20:16,3:19:50,4.484,10.675999999999998,Level 2,J1772,1.34,30308,Plug Out at Vehicle,2.84,30345,183185.0,Friday,6,2,8,1
2015-02-06 06:37:00,2:02:54,2:02:39,3.05,7.2620000000000005,Level 2,J1772,0.9109999999999999,30308,Plug Out at Vehicle,1.74,30114,235945.0,Friday,6,2,6,1
2015-02-05 17:43:00,3:20:15,2:37:10,3.557,8.468,Level 2,J1772,1.063,30308,Plug Out at Vehicle,2.84,30082,207597.0,Thursday,6,2,17,1
2015-02-05 11:53:00,3:37:02,2:24:15,3.872,9.219,Level 2,J1772,1.157,30308,Customer,3.07,30144,233769.0,Thursday,6,2,11,1
2015-02-05 13:55:00,0:58:48,0:58:33,2.405,5.726,Level 2,J1772,0.7190000000000001,30308,Customer,0.83,30004,354671.0,Thursday,6,2,13,1
2015-02-05 13:54:00,0:00:04,0:00:00,0.0,0.0,Level 2,J1772,0.0,30308,Customer,0.0,30004,354671.0,Thursday,6,2,13,1
2015-02-05 07:30:00,6:00:09,5:53:37,7.694,18.319000000000003,Level 2,J1772,2.299,30308,Plug Out at Vehicle,5.1,30622,217113.0,Thursday,6,2,7,1
2015-02-05 07:04:00,4:45:37,4:45:17,6.4510000000000005,15.359000000000002,Level 2,J1772,1.9269999999999998,30308,Plug Out at Vehicle,4.05,30019,337307.0,Thursday,6,2,7,1
2015-02-05 06:36:00,5:07:58,5:07:46,5.181,12.335999999999999,Level 2,J1772,1.548,30308,Plug Out at Vehicle,4.36,30114,235945.0,Thursday,6,2,6,1
2015-02-05 07:01:00,4:19:02,4:18:45,6.122000000000001,14.575,Level 2,J1772,1.829,30308,Plug Out at Vehicle,3.67,30096,279367.0,Thursday,6,2,7,1
2015-02-05 07:01:00,0:02:01,0:01:34,0.034,0.081,Level 2,J1772,0.01,30308,Plug Out at Vehicle,0.0,30019,337307.0,Thursday,6,2,7,1
2015-02-04 18:32:00,3:04:24,2:15:14,2.9589999999999996,7.045,Level 2,J1772,0.884,30308,Plug Out at Vehicle,2.61,0,0.0,Wednesday,6,2,18,1
2015-02-04 17:27:00,3:33:48,3:00:45,3.7680000000000002,8.972999999999999,Level 2,J1772,1.126,30308,Plug Out at Vehicle,3.03,30360,200169.0,Wednesday,6,2,17,1
2015-02-04 16:46:00,1:23:31,1:23:19,3.455,8.226,Level 2,J1772,1.032,30308,Customer,1.18,30350,335135.0,Wednesday,6,2,16,1
2015-02-04 12:47:00,5:21:58,4:03:00,6.585,15.677999999999999,Level 2,J1772,1.9680000000000002,30308,Plug Out at Vehicle,4.56,30101,250761.0,Wednesday,6,2,12,1
2015-02-04 11:59:00,0:02:01,0:00:00,0.0,0.0,Level 2,J1772,0.0,30308,Timeout,0.0,30269,323807.0,Wednesday,6,2,11,1
2015-02-04 08:14:00,4:17:24,2:24:50,3.2110000000000003,7.646,Level 2,J1772,0.96,30308,Plug Out at Vehicle,3.65,30062,261355.0,Wednesday,6,2,8,1
2015-02-04 10:35:00,1:23:26,1:22:54,1.9,4.523,Level 2,J1772,0.568,30308,Plug Out at Vehicle,1.18,30269,323807.0,Wednesday,6,2,10,1
2015-02-04 06:22:00,5:45:04,4:52:25,5.659,13.474,Level 2,J1772,1.6909999999999998,30308,Plug Out at Vehicle,4.89,30114,235945.0,Wednesday,6,2,6,1
2015-02-04 09:25:00,1:23:32,1:23:14,1.115,2.656,Level 2,J1772,0.33299999999999996,30308,Customer,1.18,30308,209813.0,Wednesday,6,2,9,1
2015-02-04 08:53:00,1:29:15,1:28:44,1.946,4.6339999999999995,Level 2,J1772,0.5820000000000001,30308,Plug Out at Vehicle,1.26,30068,260891.0,Wednesday,6,2,8,1
2015-02-03 18:23:00,1:38:08,1:37:59,4.022,9.576,Level 2,J1772,1.202,30308,Plug Out at Vehicle,1.39,0,0.0,Tuesday,6,2,18,1
2015-02-03 17:52:00,1:05:00,1:03:54,2.559,6.093,Level 2,J1772,0.765,30308,Plug Out at Vehicle,0.92,30024,356131.0,Tuesday,6,2,17,1
2015-02-03 13:40:00,1:10:01,1:09:43,2.5810000000000004,6.144,Level 2,J1772,0.7709999999999999,30308,Plug Out at Vehicle,0.99,30306,254595.0,Tuesday,6,2,13,1
2015-02-03 07:39:00,5:59:16,5:59:31,8.52,20.285,Level 2,J1772,2.546,30308,Plug Out at Vehicle,5.09,30622,217113.0,Tuesday,6,2,7,1
2015-02-03 08:27:00,4:34:02,4:33:46,5.984,14.247,Level 2,J1772,1.788,30308,Plug Out at Vehicle,3.88,30102,254811.0,Tuesday,6,2,8,1
2015-02-03 08:15:00,3:55:09,3:49:55,4.769,11.356,Level 2,J1772,1.425,30308,Plug Out at Vehicle,3.33,30062,261355.0,Tuesday,6,2,8,1
2015-02-03 06:58:00,2:27:50,2:27:41,4.822,11.482000000000001,Level 2,J1772,1.4409999999999998,30308,Plug Out at Vehicle,2.09,30019,337307.0,Tuesday,6,2,6,1
2015-02-02 12:05:00,8:53:18,4:30:55,5.324,12.677,Level 2,J1772,1.591,30308,Plug Out at Vehicle,7.56,30360,200169.0,Monday,6,2,12,1
2015-02-02 13:52:00,2:16:54,2:16:41,5.525,13.155,Level 2,J1772,1.651,30308,Customer,1.94,30309,271927.0,Monday,6,2,13,1
2015-02-02 11:49:00,2:45:03,2:44:55,3.9960000000000004,9.515,Level 2,J1772,1.194,30308,Customer,2.34,30269,323807.0,Monday,6,2,11,1
2015-02-02 07:33:00,5:01:07,4:20:36,8.216000000000001,19.561,Level 2,J1772,2.455,30308,Plug Out at Vehicle,4.27,30622,217113.0,Monday,6,2,7,1
2015-02-02 06:36:00,5:06:41,5:06:40,6.572,15.647,Level 2,J1772,1.964,30308,Plug Out at Vehicle,4.34,30114,235945.0,Monday,6,2,6,1
2015-02-02 07:13:00,1:57:59,1:57:30,2.574,6.129,Level 2,J1772,0.769,30308,Plug Out at Vehicle,1.67,30346,300523.0,Monday,6,2,7,1
2015-02-01 11:23:00,1:19:53,1:19:44,3.252,7.742999999999999,Level 2,J1772,0.972,30308,Customer,1.13,30318,269487.0,Sunday,5,2,11,1
2015-01-31 10:00:00,3:06:26,3:06:15,7.47,17.785,Level 2,J1772,2.2319999999999998,30308,Plug Out at Vehicle,2.64,30033,285613.0,Saturday,5,1,10,1
2015-01-31 09:51:00,3:14:45,3:04:05,5.098,12.137,Level 2,J1772,1.5230000000000001,30308,Plug Out at Vehicle,2.76,30016,335549.0,Saturday,5,1,9,1
2015-01-31 09:51:00,0:02:00,0:00:00,0.0,0.0,Level 2,J1772,0.0,30308,Timeout,0.0,30016,335549.0,Saturday,5,1,9,1
2015-01-30 14:46:00,2:30:08,2:29:53,6.06,14.427999999999999,Level 2,J1772,1.811,30308,Customer,2.13,30309,271927.0,Friday,5,1,14,1
2015-01-30 14:30:00,2:12:18,2:11:55,2.305,5.487,Level 2,J1772,0.6890000000000001,30308,Customer,1.87,30308,209813.0,Friday,5,1,14,1
2015-01-30 07:57:00,5:18:56,4:25:10,5.0569999999999995,12.040999999999999,Level 2,J1772,1.511,30308,Plug Out at Vehicle,4.52,30062,261355.0,Friday,5,1,7,1
2015-01-30 10:12:00,1:48:11,1:47:39,2.722,6.48,Level 2,J1772,0.813,30308,Customer,1.53,30350,335135.0,Friday,5,1,10,1
2015-01-30 06:43:00,4:59:01,4:58:46,6.546,15.585,Level 2,J1772,1.956,30308,Plug Out at Vehicle,4.24,30114,235945.0,Friday,5,1,6,1
2015-01-30 07:41:00,2:56:21,2:56:11,4.158,9.9,Level 2,J1772,1.242,30308,Plug Out at Vehicle,2.5,30102,254811.0,Friday,5,1,7,1
2015-01-29 17:28:00,3:44:23,3:44:04,4.382,10.433,Level 2,J1772,1.3090000000000002,30308,Plug Out at Vehicle,3.18,30062,250315.0,Thursday,5,1,17,1
2015-01-29 10:46:00,4:10:59,2:39:35,3.721,8.859,Level 2,J1772,1.112,30308,Plug Out at Vehicle,3.56,30076,307599.0,Thursday,5,1,10,1
2015-01-29 09:59:00,3:20:12,3:19:56,4.945,11.775,Level 2,J1772,1.4780000000000002,30308,Customer,2.84,30269,323807.0,Thursday,5,1,9,1
2015-01-29 09:57:00,1:45:52,1:45:40,2.261,5.382000000000001,Level 2,J1772,0.675,30308,Plug Out at Vehicle,1.5,30082,275669.0,Thursday,5,1,9,1
2015-01-29 06:42:00,1:09:00,1:08:09,1.729,4.117,Level 2,J1772,0.517,30308,Customer,0.98,30268,240083.0,Thursday,5,1,6,1
2015-01-28 17:46:00,3:13:43,2:50:20,3.859,9.189,Level 2,J1772,1.153,30308,Plug Out at Vehicle,2.74,30360,200169.0,Wednesday,5,1,17,1
2015-01-28 16:58:00,4:01:08,4:00:40,5.033,11.984000000000002,Level 2,J1772,1.504,30308,Plug Out at Vehicle,3.42,30062,250315.0,Wednesday,5,1,16,1
2015-01-28 16:42:00,1:12:04,1:11:49,1.911,4.551,Level 2,J1772,0.5710000000000001,30308,Customer,1.02,30350,335135.0,Wednesday,5,1,16,1
2015-01-28 12:26:00,4:38:12,3:24:10,3.388,8.067,Level 2,J1772,1.012,30308,Plug Out at Vehicle,3.94,30062,261355.0,Wednesday,5,1,12,1
2015-01-28 10:22:00,4:19:22,4:18:34,7.8870000000000005,18.778,Level 2,J1772,2.3569999999999998,30308,Customer,3.67,30269,323807.0,Wednesday,5,1,10,1
2015-01-28 07:13:00,7:00:24,6:25:46,8.517999999999999,20.281,Level 2,J1772,2.545,30308,Plug Out at Vehicle,5.96,30622,217113.0,Wednesday,5,1,7,1
2015-01-28 09:32:00,2:48:07,2:47:45,1.422,3.386,Level 2,J1772,0.425,30308,Customer,2.38,30308,209813.0,Wednesday,5,1,9,1
2015-01-28 07:06:00,4:25:57,4:25:10,5.909,14.069,Level 2,J1772,1.766,30308,Customer,3.77,30019,337307.0,Wednesday,5,1,7,1
2015-01-28 08:11:00,2:06:43,2:06:06,3.282,7.815,Level 2,J1772,0.981,30308,Plug Out at Vehicle,1.8,30102,254811.0,Wednesday,5,1,8,1
2015-01-28 07:13:00,1:49:30,1:49:10,2.6010000000000004,6.193,Level 2,J1772,0.777,30308,Customer,1.55,30268,240083.0,Wednesday,5,1,7,1
2015-01-27 19:09:00,2:24:03,2:23:50,3.6519999999999997,8.696,Level 2,J1772,1.091,30308,Plug Out at Vehicle,2.04,30082,207597.0,Tuesday,5,1,19,1
2015-01-27 18:06:00,2:37:35,2:37:20,6.164,14.675,Level 2,J1772,1.8419999999999999,30308,Plug Out at Vehicle,2.23,0,0.0,Tuesday,5,1,18,1
2015-01-27 15:38:00,2:58:28,2:58:20,5.937,14.136,Level 2,J1772,1.774,30308,Plug Out at Vehicle,2.53,30269,323807.0,Tuesday,5,1,15,1
2015-01-27 12:41:00,4:27:46,4:08:10,4.255,10.13,Level 2,J1772,1.271,30308,Plug Out at Vehicle,3.79,30062,261355.0,Tuesday,5,1,12,1
2015-01-27 08:14:00,8:00:28,3:42:40,3.738,8.9,Level 2,J1772,1.117,30308,Plug Out at Vehicle,6.81,30044,275079.0,Tuesday,5,1,8,1
2015-01-27 09:18:00,7:05:08,4:55:55,5.544,13.200999999999999,Level 2,J1772,1.6569999999999998,30308,Plug Out at Vehicle,6.02,30134,226753.0,Tuesday,5,1,9,1
2015-01-27 12:01:00,3:10:58,3:10:50,4.284,10.201,Level 2,J1772,1.28,30308,Plug Out at Vehicle,2.71,30102,254811.0,Tuesday,5,1,12,1
2015-01-27 06:56:00,5:42:11,5:41:57,8.491,20.217,Level 2,J1772,2.537,30308,Plug Out at Vehicle,4.85,30622,217113.0,Tuesday,5,1,6,1
2015-01-27 06:49:00,4:48:00,4:47:51,5.757000000000001,13.707,Level 2,J1772,1.72,30308,Plug Out at Vehicle,4.08,30114,235945.0,Tuesday,5,1,6,1
2015-01-27 07:55:00,0:57:11,0:56:44,1.247,2.969,Level 2,J1772,0.373,30308,Plug Out at Vehicle,0.81,30004,339185.0,Tuesday,5,1,7,1
2015-01-26 17:31:00,3:35:27,3:05:24,4.224,10.056000000000001,Level 2,J1772,1.262,30308,Plug Out at Vehicle,3.05,30360,200169.0,Monday,5,1,17,1
2015-01-26 16:52:00,2:08:10,2:08:00,5.232,12.457,Level 2,J1772,1.5630000000000002,30308,Customer,1.82,30350,335135.0,Monday,5,1,16,1
2015-01-26 12:55:00,3:54:49,2:31:00,2.9989999999999997,7.14,Level 2,J1772,0.8959999999999999,30308,Plug Out at Vehicle,3.33,30318,269487.0,Monday,5,1,12,1
2015-01-26 10:29:00,3:03:03,3:02:45,4.433,10.556,Level 2,J1772,1.325,30308,Customer,2.59,30269,323807.0,Monday,5,1,10,1
2015-01-26 09:29:00,3:42:41,3:41:50,5.127000000000001,12.207,Level 2,J1772,1.5319999999999998,30308,Plug Out at Vehicle,3.15,30345,183185.0,Monday,5,1,9,1
2015-01-26 07:04:00,5:27:45,5:27:25,7.952999999999999,18.936,Level 2,J1772,2.376,30308,Plug Out at Vehicle,4.64,30622,217113.0,Monday,5,1,7,1
2015-01-26 06:40:00,4:54:53,4:24:55,4.57,10.88,Level 2,J1772,1.365,30308,Plug Out at Vehicle,4.18,30114,235945.0,Monday,5,1,6,1
2015-01-26 06:55:00,2:05:55,2:05:40,5.119,12.187000000000001,Level 2,J1772,1.53,30308,Plug Out at Vehicle,1.78,30019,337307.0,Monday,5,1,6,1
2015-01-25 12:40:00,2:40:55,2:40:40,4.96,11.809000000000001,Level 2,J1772,1.482,30308,Plug Out at Vehicle,2.28,30341,334905.0,Sunday,4,1,12,1
2015-01-24 14:14:00,4:20:09,4:19:52,9.412,22.41,Level 2,J1772,2.812,30308,Plug Out at Vehicle,3.69,30350,335135.0,Saturday,4,1,14,1
2015-01-24 07:14:00,10:19:53,2:54:29,4.611000000000001,10.978,Level 2,J1772,1.3780000000000001,30308,Plug Out at Vehicle,8.78,30141,275739.0,Saturday,4,1,7,1
2015-01-23 19:10:00,2:26:29,2:26:05,4.485,10.677999999999999,Level 2,J1772,1.34,30308,Plug Out at Vehicle,2.08,30141,275739.0,Friday,4,1,19,1
2015-01-23 15:21:00,6:14:51,4:08:46,5.325,12.679,Level 2,J1772,1.591,30308,Plug Out at Vehicle,5.31,30004,268993.0,Friday,4,1,15,1
2015-01-23 11:29:00,6:04:55,3:38:16,4.022,9.577,Level 2,J1772,1.202,30308,Plug Out at Vehicle,5.17,30062,261355.0,Friday,4,1,11,1
2015-01-23 15:14:00,1:55:58,1:55:35,2.667,6.35,Level 2,J1772,0.797,30308,Plug Out at Vehicle,1.64,30318,305159.0,Friday,4,1,15,1
2015-01-23 12:56:00,4:10:46,4:10:25,4.843,11.53,Level 2,J1772,1.4469999999999998,30308,Plug Out at Vehicle,3.55,30306,254595.0,Friday,4,1,12,1
2015-01-23 11:22:00,2:21:36,2:21:24,5.0280000000000005,11.970999999999998,Level 2,J1772,1.5019999999999998,30308,Customer,2.01,30269,323807.0,Friday,4,1,11,1
2015-01-23 06:49:00,5:43:34,5:27:05,8.445,20.108,Level 2,J1772,2.524,30308,Plug Out at Vehicle,4.87,30622,217113.0,Friday,4,1,6,1
2015-01-23 06:39:00,5:19:45,4:22:10,4.908,11.686,Level 2,J1772,1.4669999999999999,30308,Plug Out at Vehicle,4.53,30114,235945.0,Friday,4,1,6,1
2015-01-23 07:58:00,2:27:50,2:27:39,3.2119999999999997,7.648,Level 2,J1772,0.96,30308,Plug Out at Vehicle,2.09,30102,254811.0,Friday,4,1,7,1
2015-01-23 07:53:00,2:30:29,2:30:09,2.6830000000000003,6.388,Level 2,J1772,0.802,30308,Plug Out at Vehicle,2.13,30068,260891.0,Friday,4,1,7,1
2015-01-22 12:02:00,6:21:55,6:08:41,9.201,21.906,Level 2,J1772,2.7489999999999997,30308,Plug Out at Vehicle,5.41,30080,241607.0,Thursday,4,1,12,1
